purpose_clean,rejected_count,avg_requested,approved_count,avg_approved,total_apps,rejection_rate
debt_consolidation,146569.0,14684.436084165138,175188,15176.367958992625,321757.0,0.45552699708164857
other,177166.0,9900.722204147523,14584,9759.17615194734,191750.0,0.9239426336375489
credit_card,28517.0,15537.543395167795,72661,15278.682856002531,101178.0,0.28184980924706954
home_improvement,27453.0,13754.45397588606,18963,14037.314770869589,46416.0,0.5914555325749742
car,32328.0,10562.789222964613,2625,9645.495238095238,34953.0,0.924899150287529
major_purchase,24442.0,9583.212298502578,5570,12323.137342908438,30012.0,0.8144075703052113
small_business,26020.0,18049.337048424288,2390,15010.732217573222,28410.0,0.9158746920098557
medical,11964.0,7229.929371447676,3054,8716.224623444663,15018.0,0.7966440271673991
moving,11316.0,6232.456256627784,1913,8009.187140616832,13229.0,0.8553934537757956
house,8115.0,19245.683918669132,1059,13933.99433427762,9174.0,0.8845650752125572
vacation,6110.0,5372.4263502455,1817,6168.299394606494,7927.0,0.7707833985114166
renewable_energy,0.0,0.0,172,9634.302325581395,172.0,0.0
wedding,0.0,0.0,3,10566.666666666666,3.0,0.0
educational,0.0,0.0,1,2200.0,1.0,0.0
